GEOID,nodes
56015,445
21015,19206
28045,550
08103,1919
12005,32569
48309,8639
31175,107
20107,413
06049,10
31145,298
39155,12654
55119,2758
38087,1972
28093,1576
29187,553
12099,313674
27101,656
40073,316
20155,1301
30021,607
16075,1025
48003,1062
36027,39615
29173,492
48271,884
51013,114417
28139,244
26139,57744
22121,10027
39147,3157
51660,6938
18047,3264
40053,0
39149,1332
39041,38046
38001,190
39101,1606
36069,12763
54089,1532
21149,40
36019,2431
27125,1068
29169,309
05149,5064
31183,0
50015,4546
21057,80
19195,134
55135,7104
27029,5076
16035,3454
40049,203
46003,239
32021,576
39037,4583
29115,1532
31095,113
39021,795
51683,8987
47007,2250
31055,243354
17045,134
27003,150325
18067,21645
20073,76
13293,283
05089,337
34037,27221
20049,10
20129,278
18107,718
21105,211
31159,698
17039,940
20111,1558
20115,1494
48115,101
08079,1084
51049,628
29003,432
31115,0
35037,1247
48137,677
18019,34583
51590,4610
51760,23934
48331,464
12011,171778
13005,32
19011,1164
17169,244
48095,0
18165,167
01037,129
34039,48641
55107,1472
17073,4685
48497,1445
13227,893
31027,441
17147,1909
17155,696
47077,1788
55041,977
38021,124
46019,469
31129,0
46077,305
29141,1191
55101,33076
19085,7941
21141,12
26149,2414
48149,1092
46069,0
36057,6067
55017,4432
39145,10839
39053,2085
29097,3735
28153,358
29111,392
19099,1366
48085,100938
48489,224
27037,174451
29057,52
18129,1827
39055,27469
08105,311
17057,1552
37169,1470
48147,51
48397,5619
30091,23
32029,9410
51680,23104
01027,2072
29045,48
19119,1512
37191,2350
38049,1012
18023,2600
27115,6064
13255,1839
01021,960
41059,3007
29155,592
19075,257
17061,249
48275,0
46083,2591
56023,5330
39129,7479
18097,146183
40033,194
20153,107
17181,1949
27063,1075
17065,66
17145,218
17131,393
13047,2142
42081,28294
13145,1702
20091,173386
21091,415
29133,182
13099,360
13149,194
35011,12
27153,917
31161,305
54091,49
05071,7397
48485,3761
29005,1170
37077,2186
12021,54669
19105,981
51115,293
27019,51990
48507,0
50001,8059
50011,3922
21199,9354
27105,292
27123,104648
13111,2547
17123,56
05031,1367
55077,650
31177,1469
53039,8892
54009,2462
18113,3561
48099,11231
22019,2927
27007,9625
28081,2186
40109,75130
55091,2049
46135,1817
38101,9784
26021,8661
36035,7576
18005,3218
38047,4
39009,16739
13211,3445
27161,244
42015,1426
20077,9
19039,189
36039,9670
12081,47240
13299,422
33001,11444
26031,3959
16081,1276
13011,114
36083,22404
37003,334
31061,4
39111,3180
27087,575
18073,530
26043,537
20005,1235
31085,0
48197,682
40005,977
37109,1661
39171,2868
29051,7945
42055,17583
13277,1409
39045,11580
27157,1872
40149,185
28099,182
16021,4436
18145,1169
26007,4070
40063,37
31093,292
05077,16
